carrier_number,shipment_number,shipment_date,delivery_date,delivery_reliability,feedback_reliability,non_conformance_count,transport_mode,cost_usd,region,origin_country,origin_postal_code,destination_country,destination_postal_code,distance_km,lead_time_days,co2_emission_kg,shipment_weight_kg,first_carrier_name,carrier_number_name,year_month,price_per_distance,origin_postal_code_2_digit,destination_postal_code_2_digit,lane,country_lane
CR-322-A,SHP398722,2024-08-28,2024-08-30,1,1,0,Air,3818.72,Africa,ZA,410578,ZA,919332,656.54,2,1497.55,3.801,XPO Logistics,CR-322-A-XPO Logistics,2024-08,0.171926718900574,41,91,ZA41-->ZA91,ZA-->ZA
367079,SHP677824,2025-09-19,2025-09-29,1,1,0,Road,101193.62,Latin America,AR,183163,IT,9392,10844.69,10,25703.85,13167.65,UPS,367079-UPS,2025-09,0.10716772460556309,18,93,AR18-->IT93,AR-->IT
CR-177-C,SHP632062,2025-05-04,2025-05-07,0,0,0,Road,184.59,Asia,CN,111945,SG,596670,1561.45,3,32.39,115.23,YRC Worldwide,CR-177-C-YRC Worldwide,2025-05,8.459017281542879,11,59,CN11-->SG59,CN-->SG
CR-152-B,SHP603572,2025-01-13,2025-01-15,1,0,0,Rail,693.36,Middle East,SA,228338,SA,663332,341.97,2,181.64,17705.16,FedEx,CR-152-B-FedEx,2025-01,0.4932069920387678,22,66,SA22-->SA66,SA-->SA
CR-389-A,SHP688831,2025-01-18,2025-01-26,0,0,1,Road,17017.23,Africa,ZA,632982,AR,578046,9586.5,8,4263.14,2470.57,YRC Worldwide,CR-389-A-YRC Worldwide,2025-01,0.5633408022339711,63,57,ZA63-->AR57,ZA-->AR
CR-777-B,SHP384303,2025-02-20,2025-02-22,0,1,0,Air,5259.65,Europe,FR,8570,IT,8470,877.22,2,1239.4,2354.8,Y.R.C,CR-777-B-Y.R.C,2025-02,0.16678296084340213,85,84,FR85-->IT84,FR-->IT
CR-839-C,SHP776555,12-03-2025,2025-03-14,0,0,2,Air,18328.56,Europe,IT,3163,DE,5689,1932.54,2,4713.15,4064.74,ZIM,CR-839-C-ZIM,2025-03,0.10543872513716297,31,56,IT31-->DE56,IT-->DE
CR-510-A,SHP798277,2025-07-14,2025-07-20,1,0,0,Rail,7119.44,Latin America,CO,159085,AE,291687,4181.72,6,1200.04,9565.81,USPS,CR-510-A-USPS,2025-07,0.587366422078141,15,29,CO15-->AE29,CO-->AE
CR-302-A,SHP601006,2023-05-10,2023-05-19,1,0,0,Rail,11767.47,North America,US,77042,EG,223284,5887.32,9,6453.72,36540.27,UPS,CR-302-A-UPS,2023-05,0.5003046534216786,77,22,US77-->EG22,US-->EG
CR-496-C,SHP261914,2025-03-20,2025-03-24,1,0,0,Sea,1422.48,Africa,NG,723161,NG,989388,765.57,4,691.94,60255.0,YRC Worldwide,CR-496-C-YRC Worldwide,2025-03,0.5381938586131264,72,98,NG72-->NG98,NG-->NG
CR-543-B,SHP129041,2023-02-15,2023-02-19,0,1,0,Road,1332.08,Africa,KE,399442,NG,571526,6090.93,4,343.81,313.59,USPS,CR-543-B-USPS,2023-02,4.5724956459071535,39,57,KE39-->NG57,KE-->NG
CR-906-C,SHP990559,2024-12-17,2024-12-20,1,0,0,Road,20781.91,Latin America,AR,631250,PE,590792,3706.25,3,13316.26,19960.69,USPS,CR-906-C-USPS,2024-12,0.1783402006841527,63,59,AR63-->PE59,AR-->PE
CR-657-A,SHP627812,2023-07-23,2023-08-02,1,0,0,Rail,14717.1,Asia,CN,945016,TR,1534,6922.89,10,3555.78,17120.89,Evergreen Marine,CR-657-A-Evergreen Marine,2023-08,0.4703977006339564,94,15,CN94-->TR15,CN-->TR
CR-398-B,SHP915323,2024-11-20,2024-11-24,0,0,0,Sea,3125.09,Europe,FR,1487,PL,6103,1715.88,4,1287.58,50025.93,SF Express,CR-398-B-SF Express,2024-11,0.5490657869053371,14,61,FR14-->PL61,FR-->PL
CR-380-A,311157,2024-09-16,2024-09-28,1,1,0,Sea,10491.04,Latin America,AR,186341,IL,619535,7452.27,12,5477.33,48999.22,XPO Logistics,CR-380-A-XPO Logistics,2024-09,0.7103461620582897,18,61,AR18-->IL61,AR-->IL
CR-557-C,SHP262675,2025-06-25,2025-06-28,0,1,0,Air,112207.72,Europe,BE,5047,MX,50533,10655.86,3,24976.8,3906.58,ZIM,CR-557-C-ZIM,2025-06,0.09496548009352655,50,50,BE50-->MX50,BE-->MX
CR-286-B,SHP536471,2025-08-09,2025-08-12,0,1,0,Air,47033.87,Latin America,CL,330196,AR,616732,6849.59,3,11771.36,2864.25,ZIM Integrated Shipping,CR-286-B-ZIM Integrated Shipping,2025-08,0.14563101016352684,33,61,CL33-->AR61,CL-->AR
CR-270-B,SHP644657,2023-01-31,2023-02-08,0,0,0,Rail,18196.65,Latin America,CO,74727,AR,175569,6200.32,8,5815.62,31265.19,TNT,CR-270-B-TNT,2023-02,0.3407396416373343,74,17,CO74-->AR17,CO-->AR
CR-207-A,SHP578723,2024-01-06,2024-01-08,1,1,0,Sea,1303.36,Europe,PL,1292,SE,3914,1203.79,2,731.79,40526.75,ZIM Integrated Shipping,CR-207-A-ZIM Integrated Shipping,2024-01,0.9236051436287749,12,39,PL12-->SE39,PL-->SE
CR-653-A,SHP334041,2025-05-12,2025-05-13,1,1,0,Sea,879.95,North America,US,61035,CA,81949,888.37,1,327.88,24605.16,ZIM,CR-653-A-ZIM,2025-05,1.0095687254957668,61,81,US61-->CA81,US-->CA
CR-882-B,SHP172206,2023-05-02,2023-05-03,1,1,0,Sea,653.38,North America,US,74351,US,39392,181.46,1,109.14,40095.59,Y.R.C,CR-882-B-Y.R.C,2023-05,0.2777250604548655,74,39,US74-->US39,US-->US
477238,SHP575005,2024-02-13,2024-02-16,1,0,2,Road,17654.71,Asia,SG,905634,IN,967800,1941.56,3,8415.09,24078.89,Maersk,477238-Maersk,2024-02,0.10997405225007945,90,96,SG90-->IN96,SG-->IN
317193,SHP231330,2024-07-05,2024-07-06,0,0,0,Road,582.82,Asia,KR,579238,KR,837152,218.91,1,103.39,2623.9,NipponExpress,317193-NipponExpress,2024-07,0.3756048179540853,57,83,KR57-->KR83,KR-->KR
CR-805-C,SHP266133,2023-10-16,2023-10-25,1,1,0,Sea,13192.79,Middle East,SA,990021,TR,7008,7279.27,9,6848.4,62720.55,USPS,CR-805-C-USPS,2023-10,0.5517612271551355,99,70,SA99-->TR70,SA-->TR
CR-890-A,SHP241768,2023-04-03,2023-04-13,1,0,0,Road,24116.59,Europe,SE,2637,IN,439421,11972.34,10,4785.27,2220.52,XPO Logistics,CR-890-A-XPO Logistics,2023-04,0.4964358559812975,26,43,SE26-->IN43,SE-->IN
CR-217-A,SHP812949,2025-07-09,2025-07-11,0,0,0,Air,41128.65,Latin America,CL,866299,MX,34598,8263.69,2,9386.5,1893.12,XPO Logistics,CR-217-A-XPO Logistics,2025-07,0.20092295759768433,86,34,CL86-->MX34,CL-->MX
CR-608-C,SHP768663,2023-09-05,2023-08-09,0,1,0,Air,50620.81,Asia,CN,592977,TR,6222,10624.13,3,16367.75,2567.7,ZIM,CR-608-C-ZIM,2023-08,0.20987672856281833,59,62,CN59-->TR62,CN-->TR
401662,SHP446845,2023-10-24,2023-11-04,1,0,0,Sea,23418.71,Africa,EG,459422,KE,955991,6220.95,11,7912.39,84792.86,COSCO,401662-COSCO,2023-11,0.26564016549160907,45,95,EG45-->KE95,EG-->KE
386559,SHP452444,2023-08-10,2023-08-14,1,1,0,Road,3829.04,Asia,SG,889175,ZA,941506,3193.74,4,1495.86,2602.07,YRC Worldwide,386559-YRC Worldwide,2023-08,0.8340837390050769,88,94,SG88-->ZA94,SG-->ZA
CR-897-B,SHP845850,2024-05-13,2024-05-23,1,1,0,Rail,11326.51,Africa,ZA,509927,NG,735481,10055.65,10,3283.52,10884.48,YRC Worldwide,CR-897-B-YRC Worldwide,2024-05,0.8877977417580525,50,73,ZA50-->NG73,ZA-->NG
CR-508-B,SHP560005,2024-08-26,2024-08-28,1,1,0,Rail,6439.28,North America,MX,94611,CA,42276,1715.79,2,2032.98,39495.53,ZIM,CR-508-B-ZIM,2024-08,0.26645680883577044,94,42,MX94-->CA42,MX-->CA
CR-270-A,SHP442013,2025-03-24,2025-03-25,0,1,3,Air,12973.2,Middle East,SA,939370,CN,739265,5717.73,1,3799.33,1107.47,ZIM,CR-270-A-ZIM,2025-03,0.44073397465544345,93,73,SA93-->CN73,SA-->CN
CR-506-B,SHP761857,2025-08-07,2025-08-12,1,0,0,Road,3113.81,Europe,PL,7350,BR,40803,5936.85,5,1029.48,963.36,YRC Worldwide,CR-506-B-YRC Worldwide,2025-08,1.9066192221105336,73,40,PL73-->BR40,PL-->BR
CR-785-C,SHP328705,2024-08-21,2024-08-26,1,1,0,Road,538.27,Africa,EG,201818,NG,290635,3527.29,5,210.7,331.86,Kuehne + Nagel,CR-785-C-Kuehne + Nagel,2024-08,6.553012428706783,20,29,EG20-->NG29,EG-->NG
CR-353-C,SHP611837,2024-05-04,2024-05-11,0,1,0,Rail,10870.35,Africa,KE,322174,NG,494047,7000.05,7,1927.38,9177.92,USPS,CR-353-C-USPS,2024-05,0.6439581062247306,32,49,KE32-->NG49,KE-->NG
CR-862-C,SHP923772,2023-07-21,2023-07-24,1,0,0,Air,3315.4,Asia,CN,450614,KR,321854,1187.43,3,842.46,1182.47,db schenker,CR-862-C-db schenker,2023-07,0.35815587862701337,45,32,CN45-->KR32,CN-->KR
CR-533-B,SHP964841,2025-07-07,2025-07-10,0,1,0,Sea,1149.52,Middle East,TR,8248,TR,5948,487.29,3,377.06,51585.49,Royal Mail,CR-533-B-Royal Mail,2025-07,0.42390737003270934,82,59,TR82-->TR59,TR-->TR
CR-440-A,SHP527703,2024-08-29,2024-09-03,1,0,0,Rail,8317.3,Africa,ZA,839972,CN,448997,4519.74,5,1733.09,12781.67,X.P.O Logistics,CR-440-A-X.P.O Logistics,2024-09,0.5434143291693218,83,44,ZA83-->CN44,ZA-->CN
CR-346-A,SHP749336,2024-12-17,2024-12-28,0,1,2,Rail,22538.26,Latin America,BR,56109,AR,470535,8948.1,11,5880.74,21906.85,XPO Logistics,CR-346-A-XPO Logistics,2024-12,0.39701822589676405,56,47,BR56-->AR47,BR-->AR
749422,SHP344896,2024-10-16,2024-10-26,0,1,0,Road,7757.605,Africa,NG,157908,ZA,358395,10414.64,10,1563.42,833.99,FedEx,749422-FedEx,2024-10,1.3425071268774318,15,35,NG15-->ZA35,NG-->ZA
CR-222-B,399365,2024-02-09,2024-02-20,1,1,0,Road,9221.37,Latin America,PE,124328,AR,702400,11930.31,11,2188.42,1019.08,YRC Worldwide,CR-222-B-YRC Worldwide,2024-02,1.2937676288881153,12,70,PE12-->AR70,PE-->AR
CR-409-B,SHP867210,2023-06-17,2023-06-27,1,0,0,Road,20262.19,Latin America,BR,81646,NG,999655,9549.49,10,6800.86,3956.5,UPS,CR-409-B-UPS,2023-06,0.4712960445045674,81,99,BR81-->NG99,BR-->NG
CR-193-A,SHP306885,2024-08-29,2024-09-02,1,1,0,Air,27336.13,Europe,BE,5512,SA,984257,6114.45,4,8276.63,2256.03,ZIM,CR-193-A-ZIM,2024-09,0.22367650431864347,55,98,BE55-->SA98,BE-->SA
CR-627-C,SHP746116,2024-05-31,2024-06-06,1,1,0,Road,3739.69,Asia,CN,505759,KE,768737,5687.24,6,931.08,909.52,ZIM,CR-627-C-ZIM,2024-06,1.520778460246705,50,76,CN50-->KE76,CN-->KE
CR-827-C,SHP841099,2025-08-19,2025-09-02,1,0,0,Sea,7204.45,Europe,SE,2874,SG,162347,10389.61,14,4830.83,30997.81,YRC Worldwide,CR-827-C-YRC Worldwide,2025-09,1.4421100847392931,28,16,SE28-->SG16,SE-->SG
CR-419-C,SHP730753,2023-06-09,2023-06-16,1,1,0,Road,26507.22,Middle East,SA,943669,KR,559089,6076.35,7,11284.93,10317.72,ZIM,CR-419-C-ZIM,2023-06,0.22923377102540365,94,55,SA94-->KR55,SA-->KR
CR-446-B,SHP383220,2023-07-21,2023-07-27,1,1,0,Road,8966.25,Europe,IT,5514,SG,857708,7732.96,6,1698.98,1220.59,XPO Logistics,CR-446-B-XPO Logistics,2023-07,0.8624519726753102,55,85,IT55-->SG85,IT-->SG
CR-310-A,SHP252473,2023-02-06,2023-10-02,0,0,2,Air,126993.53,North America,US,36127,KR,171837,9855.48,4,25013.24,4230.01,X.P.O Logistics,CR-310-A-X.P.O Logistics,2023-10,0.07760615836098106,36,17,US36-->KR17,US-->KR
CR-371-B,684642,2025-03-07,2025-03-08,1,1,0,Air,5383.08,Latin America,AR,640013,IT,9255,3688.98,1,1145.24,517.41,ZIM,CR-371-B-ZIM,2025-03,0.6852916917452462,64,92,AR64-->IT92,AR-->IT
CR-474-C,SHP128229,2025-04-02,2025-04-06,0,1,0,Road,10047.18,Africa,KE,582767,CA,94978,6278.3,4,2555.11,2260.97,ZIM Integrated Shipping,CR-474-C-ZIM Integrated Shipping,2025-04,0.6248818076315942,58,94,KE58-->CA94,KE-->CA
865721,SHP674379,2024-03-08,2024-03-12,0,0,0,Rail,5311.37,Europe,BE,9737,PL,9122,1822.44,4,1943.5,35547.66,UPS,865721-UPS,2024-03,0.3431205131632705,97,91,BE97-->PL91,BE-->PL
CR-562-C,SHP301758,2023-07-01,2023-07-13,1,1,0,Sea,11075.17,Africa,EG,531856,ZA,464629,9567.14,12,3783.92,26367.49,ups,CR-562-C-ups,2023-07,0.863836853068621,53,46,EG53-->ZA46,EG-->ZA
596613,SHP836407,2023-09-04,2023-09-09,0,1,0,Rail,4694.38,Africa,EG,688962,CN,766395,4517.67,5,4168.27,30755.24,TNT,596613-TNT,2023-09,0.962357116381716,68,76,EG68-->CN76,EG-->CN
CR-689-A,SHP281406,18-03-2025,2025-03-25,0,1,0,Road,1129.91,Africa,KE,377649,EG,489923,8554.55,7,239.45,155.5,ZIM,CR-689-A-ZIM,2025-03,7.571001230186474,37,48,KE37-->EG48,KE-->EG
CR-233-C,SHP257510,2025-10-27,2025-11-06,1,1,0,Road,9833.1,Middle East,TR,6087,IL,527087,10162.39,10,2545.89,1391.78,SF Express,CR-233-C-SF Express,2025-11,1.0334879132725183,60,52,TR60-->IL52,TR-->IL
CR-188-C,SHP651385,2023-04-09,2023-04-11,0,0,0,Air,5263.89,Africa,KE,677452,AR,230598,3638.76,2,1518.22,695.39,Y.R.C,CR-188-C-Y.R.C,2023-04,0.691268244587178,67,23,KE67-->AR23,KE-->AR
CR-391-B,SHP771525,2024-06-03,2024-06-06,1,1,0,Road,1090.15,Middle East,AE,946665,AE,691955,517.42,3,317.75,3411.7,USPS,CR-391-B-USPS,2024-06,0.47463193138558907,94,69,AE94-->AE69,AE-->AE
CR-773-B,SHP199520,2025-06-16,2025-06-19,0,1,0,Road,1681.14,Europe,FR,1592,DE,9184,836.89,3,547.62,3635.29,ZIM,CR-773-B-ZIM,2025-06,0.4978110091961407,15,91,FR15-->DE91,FR-->DE
CR-294-A,SHP708504,2025-05-18,2025-05-24,0,1,0,Rail,9011.01,Europe,BE,6242,IL,212676,5561.17,6,4622.4,27706.4,ZIM,CR-294-A-ZIM,2025-05,0.6171527941928818,62,21,BE62-->IL21,BE-->IL
524219,SHP835232,2025-08-10,2025-08-18,1,1,0,Sea,8432.77,North America,CA,92220,NG,326054,5740.46,8,2001.88,23248.81,Kuehne + Nagel,524219-Kuehne + Nagel,2025-08,0.6807324283716976,92,32,CA92-->NG32,CA-->NG
CR-439-A,SHP692253,2024-11-12,2024-11-14,1,1,0,Sea,1082.75,North America,US,32277,MX,23606,1175.2,2,357.57,20284.03,ZIM,CR-439-A-ZIM,2024-11,1.0853844377741861,32,23,US32-->MX23,US-->MX
CR-529-B,SHP681539,2023-07-19,2023-07-21,1,1,0,Road,1002.75,Asia,SG,986643,JP,346032,1591.31,2,185.71,648.34,XPO Logistics,CR-529-B-XPO Logistics,2023-07,1.5869458987783596,98,34,SG98-->JP34,SG-->JP
CR-566-A,SHP147079,2024-05-12,2024-05-14,0,1,1,Road,843.89,Asia,JP,632314,JP,871669,122.96,2,307.86,13909.48,YRC Worldwide,CR-566-A-YRC Worldwide,2024-05,0.14570619393522852,63,87,JP63-->JP87,JP-->JP
CR-127-C,SHP194639,2025-03-09,2025-03-13,0,1,1,Road,1670.23,Europe,IT,7306,ES,6446,1005.17,4,565.35,3124.69,Nippon Express,CR-127-C-Nippon Express,2025-03,0.6018153188483023,73,64,IT73-->ES64,IT-->ES
189154,SHP336160,2025-02-07,2025-02-22,0,0,1,Sea,12722.95,Europe,ES,7206,BR,49664,10021.81,15,8565.97,56982.16,Maersk Sealand,189154-Maersk Sealand,2025-02,0.7876954637092812,72,49,ES72-->BR49,ES-->BR
CR-579-A,SHP617453,2023-11-07,2023-11-14,1,1,3,Road,3211.51,Latin America,CL,84854,IL,801934,8551.87,7,1476.11,958.93,TNT,CR-579-A-TNT,2023-11,2.6628813237386777,84,80,CL84-->IL80,CL-->IL
837487,SHP176173,2023-05-13,2023-05-15,0,0,0,Sea,935.27,North America,MX,99873,MX,31041,495.61,2,329.4,44309.1,Maersk,837487-Maersk,2023-05,0.5299111486522609,99,31,MX99-->MX31,MX-->MX
CR-221-A,SHP332093,2025-05-22,2025-05-25,1,0,0,Air,70430.34,North America,US,19681,BR,26469,6268.93,3,16062.06,4270.28,XPO Logistics,CR-221-A-XPO Logistics,2025-05,0.08900894131705173,19,26,US19-->BR26,US-->BR
CR-942-C,SHP306044,2023-12-31,2024-01-08,0,1,3,Road,8324.71,Europe,IT,8306,US,65212,6373.83,8,2339.01,2038.72,YRC Worldwide,CR-942-C-YRC Worldwide,2024-01,0.7656518965825837,83,65,IT83-->US65,IT-->US
CR-978-B,SHP895792,2025-04-03,2025-04-10,0,0,0,Rail,11769.77,North America,US,79794,CO,350625,4686.35,7,4420.7,31443.81,YRC Worldwide,CR-978-B-YRC Worldwide,2025-04,0.3981683584301138,79,35,US79-->CO35,US-->CO
CR-872-C,SHP245862,2023-05-27,2023-06-05,1,0,0,Rail,9462.27,Middle East,IL,164959,AE,548102,7177.13,9,2596.66,12059.89,Royal Mail,CR-872-C-Royal Mail,2023-06,0.75849981029922,16,54,IL16-->AE54,IL-->AE
786680,SHP385057,2023-08-08,2023-08-11,0,1,0,Sea,483.5,Asia,JP,141298,JP,576683,64.61,3,45.6,47052.31,COSCO,786680-COSCO,2023-08,0.13362978283350568,14,57,JP14-->JP57,JP-->JP
CR-848-C,SHP329216,2023-12-19,2023-12-22,0,1,0,Air,13517.52,Europe,IT,8957,SA,772330,8357.36,3,3388.77,675.81,SF Express,CR-848-C-SF Express,2023-12,0.6182613378785458,89,77,IT89-->SA77,IT-->SA
CR-800-C,SHP349987,2023-05-14,2023-05-25,1,0,0,Sea,16523.46,Middle East,AE,788948,IT,8235,6483.58,11,6975.31,71722.81,ZIM,CR-800-C-ZIM,2023-05,0.39238634039117715,78,82,AE78-->IT82,AE-->IT
CR-755-C,SHP282976,2024-08-15,2024-08-16,1,1,1,Road,126.36,North America,US,35938,US,81187,147.42,1,13.96,526.27,ZIM,CR-755-C-ZIM,2024-08,1.1666666666666665,35,81,US35-->US81,US-->US
CR-939-C,SHP202708,2024-03-13,2024-03-19,1,1,0,Road,7300.43,Middle East,TR,5033,AE,516358,4032.23,6,1396.46,1924.03,SF Express,CR-939-C-SF Express,2024-03,0.5523277395989004,50,51,TR50-->AE51,TR-->AE
527069,SHP618513,2025-02-26,2025-02-28,0,1,0,Air,46645.97,Europe,IT,6401,CA,62610,5122.81,2,11145.5,3626.1,db schenker,527069-db schenker,2025-02,0.1098232065921236,64,62,IT64-->CA62,IT-->CA
CR-866-B,SHP435035,2023-03-24,2023-03-26,0,1,0,Road,232.91,Middle East,IL,397019,IL,754854,155.71,2,78.29,2793.33,UPS,CR-866-B-UPS,2023-03,0.6685414967154696,39,75,IL39-->IL75,IL-->IL
CR-907-A,SHP592719,2025-09-13,2025-09-24,0,1,0,Rail,29391.81,Latin America,PE,313950,MX,72743,10082.64,11,11749.65,38844.5,ZIM,CR-907-A-ZIM,2025-09,0.3430425006149672,31,72,PE31-->MX72,PE-->MX
CR-873-A,SHP498385,2024-09-04,2024-09-06,0,0,0,Rail,1782.29,Europe,NL,6293,SE,3809,1138.16,2,528.92,15490.51,ZIM,CR-873-A-ZIM,2024-09,0.6385941681768961,62,38,NL62-->SE38,NL-->SE
CR-868-C,SHP929772,2025-09-22,2025-09-23,1,1,0,Air,477.04,Africa,EG,492939,EG,692759,64.09,1,42.11,1095.06,ZIM,CR-868-C-ZIM,2025-09,0.13434932081167197,49,69,EG49-->EG69,EG-->EG
CR-222-C,SHP207307,2024-09-19,2024-10-02,1,1,0,Sea,17244.54,Middle East,IL,523331,TR,8710,8647.02,13,6965.61,53703.37,ZIM,CR-222-C-ZIM,2024-10,0.5014352368923729,52,87,IL52-->TR87,IL-->TR
CR-445-C,SHP289450,2025-09-28,2025-10-01,1,1,0,Air,27901.55,Middle East,TR,4169,IL,577865,3104.14,3,7544.79,4050.93,ZIM Integrated Shipping,CR-445-C-ZIM Integrated Shipping,2025-10,0.11125331746802597,41,57,TR41-->IL57,TR-->IL
CR-349-B,SHP669940,2024-12-15,2024-12-22,1,0,0,Rail,7003.94,Africa,EG,726927,NG,167534,6452.11,7,6240.54,32240.33,UPS,CR-349-B-UPS,2024-12,0.9212114895330342,72,16,EG72-->NG16,EG-->NG
CR-325-A,SHP835957,2023-12-22,2023-12-26,1,1,2,Rail,11262.14,Middle East,TR,5435,AE,611686,3997.3,4,3462.18,28870.98,Nippon Express,CR-325-A-Nippon Express,2023-12,0.35493254390373413,54,61,TR54-->AE61,TR-->AE
CR-794-C,SHP365125,2025-02-11,2025-02-18,1,1,0,Road,1917.26,Asia,CN,619089,US,89677,4645.85,7,450.58,538.81,ZIM,CR-794-C-ZIM,2025-02,2.4231716094843687,61,89,CN61-->US89,CN-->US
CR-789-A,SHP170370,2025-09-26,2025-10-01,1,1,0,Sea,6015.18,North America,MX,62979,CA,57936,1402.03,5,1910.48,90843.48,XPO Logistics,CR-789-A-XPO Logistics,2025-10,0.2330819692843772,62,57,MX62-->CA57,MX-->CA
CR-928-C,SHP932813,2024-12-12,2024-12-15,0,0,0,Sea,1349.68,Middle East,AE,199336,AE,931719,687.71,3,634.37,61496.62,XPO Logistics,CR-928-C-XPO Logistics,2024-12,0.5095355936221919,19,93,AE19-->AE93,AE-->AE
CR-441-B,SHP983528,2025-05-05,2025-05-08,1,1,0,Road,127.13,Asia,CN,866671,CN,265147,52.45,3,30.27,3206.61,Royal Mail,CR-441-B-Royal Mail,2025-05,0.41256981043026825,86,26,CN86-->CN26,CN-->CN
CR-733-C,SHP587988,2025-07-15,2025-07-16,1,0,0,Air,13753.1,Asia,KR,573000,IN,647268,1320.51,1,2593.88,3273.84,YRC Worldwide,CR-733-C-YRC Worldwide,2025-07,0.09601544379085442,57,64,KR57-->IN64,KR-->IN
CR-495-A,SHP828512,2023-08-30,2023-09-01,1,0,0,Road,16476.77,Asia,IN,653753,SG,810152,1826.82,2,5192.6,15791.25,UPS,CR-495-A-UPS,2023-09,0.1108724586190133,65,81,IN65-->SG81,IN-->SG
383192,SHP404224,2024-01-05,2024-01-14,0,0,0,Rail,14653.08,Latin America,BR,31748,ES,5977,8065.92,9,2368.43,9787.79,U.P.S,383192-U.P.S,2024-01,0.5504590161249375,31,59,BR31-->ES59,BR-->ES
CR-109-C,SHP155711,2023-10-19,2023-10-23,0,1,0,Sea,3834.44,Asia,KR,288511,SG,826883,1829.81,4,1648.77,60070.7,XPO Logistics,CR-109-C-XPO Logistics,2023-10,0.47720397241839746,28,82,KR28-->SG82,KR-->SG
CR-302-C,SHP540261,2023-12-26,2024-01-01,0,0,0,Rail,14985.43,Africa,ZA,282636,KE,907203,5728.55,6,4765.58,27730.0,YRC Worldwide,CR-302-C-YRC Worldwide,2024-01,0.38227464944282546,28,90,ZA28-->KE90,ZA-->KE
CR-270-B,SHP534052,2023-03-27,2023-03-30,0,1,0,Sea,1633.03,Africa,EG,155874,EG,960338,623.02,3,631.45,67569.44,TNT,CR-270-B-TNT,2023-03,0.38151166849353657,15,96,EG15-->EG96,EG-->EG
CR-370-C,SHP158492,2024-01-29,2024-01-30,0,1,0,Air,6033.27,Europe,DE,4272,SE,9395,1550.77,1,1843.69,1981.47,YRC Worldwide,CR-370-C-YRC Worldwide,2024-01,0.25703639982961146,42,93,DE42-->SE93,DE-->SE
CR-447-A,SHP150112,25-06-2025,2025-06-26,1,1,0,Air,98124.17,Middle East,IL,338326,SA,798139,6687.2,1,18766.46,4677.21,Royal Mail,CR-447-A-Royal Mail,2025-06,0.06815038537396036,33,79,IL33-->SA79,IL-->SA
CR-569-B,SHP610371,2023-05-10,2023-05-11,0,1,3,Rail,1186.71,Asia,IN,206571,IN,674374,725.48,1,390.18,17927.36,Kuehne+Nagel,CR-569-B-Kuehne+Nagel,2023-05,0.611337226449596,20,67,IN20-->IN67,IN-->IN
CR-640-A,SHP154882,2024-01-04,2024-06-01,1,1,0,Air,3315.65,Asia,SG,956450,SG,171238,336.24,2,862.68,4276.15,Royal Mail,CR-640-A-Royal Mail,2024-06,0.1014099799436008,95,17,SG95-->SG17,SG-->SG
CR-283-A,306087,2024-04-26,2024-05-07,1,0,1,Sea,6249.25,Middle East,IL,183283,CA,43448,7438.01,11,3664.74,32846.96,SF Express,CR-283-A-SF Express,2024-05,1.1902244269312319,18,43,IL18-->CA43,IL-->CA
CR-522-C,SHP946971,2025-05-24,2025-05-27,0,0,1,Road,2332.4,Asia,JP,695642,CN,148003,1529.77,3,761.65,2.766,USPS,CR-522-C-USPS,2025-05,0.6558780655119191,69,14,JP69-->CN14,JP-->CN
CR-706-A,SHP731522,2024-04-01,2024-04-05,0,1,0,Rail,4581.1,Latin America,PE,249907,SG,401440,3645.63,4,923.43,8443.25,TNT,CR-706-A-TNT,2024-04,0.7957979524568335,24,40,PE24-->SG40,PE-->SG
CR-169-B,SHP505122,2025-07-12,2025-07-22,0,0,1,Road,1946.76,Africa,ZA,220001,NG,286156,9472.01,10,418.48,245.45,YRC Worldwide,CR-169-B-YRC Worldwide,2025-07,4.865525283034375,22,28,ZA22-->NG28,ZA-->NG
907830,SHP905233,2023-07-10,2023-07-11,0,0,0,Road,165.99,Africa,EG,307112,EG,887714,417.62,1,23.71,315.39,COSCO,907830-COSCO,2023-07,2.5159346948611363,30,88,EG30-->EG88,EG-->EG
CR-174-C,SHP553819,2024-12-09,2024-12-13,0,0,0,Road,1915.55,Asia,JP,115957,CN,885079,1451.36,4,904.51,3462.31,ZIM,CR-174-C-ZIM,2024-12,0.7576727310694056,11,88,JP11-->CN88,JP-->CN
CR-499-A,SHP472699,2024-02-18,2024-02-21,1,1,0,Air,8214.34,North America,US,79446,MX,35664,1097.14,3,1690.94,2568.7,ZIM,CR-499-A-ZIM,2024-02,0.133563986881478,79,35,US79-->MX35,US-->MX
CR-993-A,SHP864378,2024-07-29,2024-08-09,0,0,0,Sea,9772.8,Europe,NL,1484,EG,835944,8188.12,11,2863.97,23318.09,UPS,CR-993-A-UPS,2024-08,0.8378479043876883,14,83,NL14-->EG83,NL-->EG
CR-135-C,SHP849125,2023-01-11,2023-12-01,1,1,0,Road,336.66,North America,MX,52514,MX,55816,157.1,1,78.45,2774.38,YRC Worldwide,CR-135-C-YRC Worldwide,2023-12,0.46664290381987755,52,55,MX52-->MX55,MX-->MX
CR-754-C,SHP848134,2023-02-28,2023-03-01,0,1,0,Air,5912.36,Asia,KR,279544,JP,879647,1268.72,1,2062.48,2709.41,XPO Logistics,CR-754-C-XPO Logistics,2023-03,0.21458774499523034,27,87,KR27-->JP87,KR-->JP
