carrier_name,carrier_number,shipment_number,shipment_date,delivery_date,delivery_reliability,feedback_reliability,non_conformance_count,transport_mode,shipment_weight_kg,cost_usd,status,region,origin_country,origin_postal_code,destination_country,destination_postal_code,distance_km,lead_time_days,co2_emission_kg,remarks,data_entry_source
ZIM,CR-756-B,SHP758596,2024-04-30,2024-05-02,0,1,0,Road,19700.37,11380.35,Delivered,Europe,DE,4087,IT,2102,1070.85,2,3797.3,No issues,API
DB Cargo,CR-821-B,SHP860492,2025-06-26,2025-06-28,1,0,0,Rail,29186.42,2748.44,Cancelled,Europe,DE,5081,SE,3289,918.88,2,804.56,Documentation missing,Email
YRC Worldwide,CR-397-C,SHP658552,2024-08-15,2024-08-17,Yes,1,0,Sea,98500.31,3753.18,Cancelled,Asia,JP,407555,CN,336633,1344.59,2,1986.64,Left at front desk,API
Hapag-Lloyd,CR-682-B,SHP605993,2025-10-10,2025-10-11,0,1,3,Air,4882.62,USD 68225.9,Returned,Africa,NG,553457,US,52715,6315.71,1,18502.33,No issues,Manual
YRC Worldwide,CR-559-B,SHP673505,2023-08-31,2023-09-09,1,0,1,Road,12369.76,84715.84,In Transit,Latin America,BR,41197,SA,912868,10026.06,9,22323.59,Customs hold,API
UPS,CR-289-B,SHP454747,2024-06-13,2024-06-17,0,1,0,Sea,57680.48,1385.99,In Transit,North America,MX,95537,MX,85721,599.9,4,519.04,SLA breach,EDI
Rhenus,CR-898-C,SHP103682,17-02-2024,2024-02-29,0,1,0,Sea,31090.58,10500.34,Delayed,Middle East,TR,9356,BR,81712,9504.17,12,4432.35,Documentation missing,Email
SF Express,CR-254-C,SHP903774,2024-03-22,2024-03-23,0,1,0,Air,4713.54,28631.29,In Transit,North America,MX,92008,IL,620974,4224.55,1,11947.54,No issues,Portal
ZIM Integrated Shipping,CR-797-C,SHP754858,2023-12-22,2023-12-27,1,0,0,Road,15266.5,20349.43,Delayed,Africa,NG,757685,EG,431495,4745.13,5,13039.48,Documentation missing,Portal
DB-Cargo,CR-757-B,SHP545180,2024-02-17,2024-02-23,0,1,0,Sea,41250.01,4323.03,Returned,Latin America,CO,45864,IT,1183,3217.45,6,1990.8,Left at front desk,Email
SF Express,CR-279-C,SHP208263,2025-10-15,2025-10-27,1,1,0,Road,2720.25,24577.02,Delivered,Africa,KE,880945,EG,482479,11758.12,12,5757.3,SLA breach,API
COSCO,CR-732-C,SHP269127,2025-06-13,2025-06-17,0,1,0,Rail,32627.35,2242.09,Returned,Africa,KE,520219,KE,443478,708.53,4,693.52,Partial delivery,Portal
ZIM,CR-583-C,SHP379261,2023-07-11,2023-07-15,1,0,0,Sea,42900.23,2527.39,In Transit,North America,US,10471,MX,78491,1230.48,4,791.82,No issues,Portal
Hapag-Lloyd,CR-151-B,SHP567061,2025-06-04,2025-06-05,0,0,0,Road,730.8,389.34,Delayed,Europe,PL,6977,PL,2069,627.15,1,82.5,Customs hold,Email
ZIM,CR-230-B,SHP553695,2025-05-05,2025-05-07,1,0,0,Road,740.57,122.95,Cancelled,Africa,ZA,999657,ZA,554699,292.34,2,38.97,SLA breach,Portal
CEVA Logistics,CR-103-C,SHP507424,05-02-2023,2023-02-08,0,1,0,Road,2477.5,$1199.63,In Transit,Europe,FR,1034,PL,7157,1381.47,3,616.07,Customs hold,Manual
Nippon Express,784723,SHP401934,2024-01-11,2024-01-15,0,0,0,Road,2252.63,6336.63,In Transit,Latin America,BR,53991,PE,861115,3135.48,4,1271.35,No issues,Email
CEVA Logistics,CR-270-C,SHP532578,2024-01-06,2024-01-17,1,1,0,sea,22399.06,11216.5,Delayed,Middle East,TR,9860,EG,496348,9345.25,11,3139.87,No issues,Portal
Kuehne + Nagel,CR-118-B,SHP910941,2025-06-25,2025-06-28,1,0,0,Sea,53560.72,3169.68,Delivered,Europe,ES,1048,TR,7266,1983.26,3,1593.37,No issues,Email
UPS,CR-709-B,SHP655878,2023-04-20,2023-04-22,1,0,0,Air,4926.65,103585.72,In Transit,Middle East,TR,3860,PE,385221,9191.58,2,27170.2,Left at front desk,API
TNT,CR-270-A,SHP479740,2024-06-25,2024-06-27,1,1,0,Rail,18309.54,4329.38,Delivered,Europe,ES,7411,IT,5172,1509.88,2,829.36,Customs hold,Manual
DBCargo,CR-330-B,SHP944549,2023-04-03,2023-04-05,1,0,0,Road,3316.28,1311.66,Returned,North America,MX,63594,MX,84641,451.82,2,269.71,Customs hold,Manual
Nippon Express,CR-325-B,SHP829272,2024-02-11,2024-02-21,0,1,0,Sea,22832.21,4206.54,In Transit,Africa,ZA,601697,IL,174654,5719.95,10,1958.99,Customs hold,Manual
Nippon Express,CR-576-B,SHP739135,2024-05-02,2024-05-05,1,1,0,Road,11989.87,1236.33,Delivered,Latin America,PE,347116,PE,532458,139.07,3,300.14,Left at front desk,Email
Kuehne + Nagel,CR-589-C,SHP597749,2025-05-07,2025-05-09,1,0,0,Rail,22825.73,405.65,In Transit,Latin America,BR,18365,BR,28079,137.89,2,94.43,Left at front desk,Email
COSCO,CR-204-B,SHP741726,2023-12-01,2023-12-03,1,0,1,Rail,18085.02,2242.52,Returned,Asia,SG,800241,IN,609964,944.74,2,512.57,No issues,Portal
FedEx,CR-992-A,SHP685600,2023-03-27,2023-04-06,0,1,0,Sea,97996.91,$15202.36,Returned,Africa,KE,264258,ZA,350190,8575.8,10,12606.04,Customs hold,Email
United Parcel Service,CR-783-A,SHP924101,2023-12-06,2023-12-16,No,1,0,Rail,26236.26,13740.5,Cancelled,Latin America,CO,331300,NG,655732,7462.51,10,5873.65,Customs hold,Manual
Rhenus Intl,CR-441-C,SHP425800,2025-06-16,2025-06-20,1,1,2,Rail,12327.25,USD 2257.6,Delayed,Europe,DE,5384,FR,5470,1853.64,4,685.51,Documentation missing,EDI
USPS,CR-137-B,SHP948120,2025-04-10,2025-04-17,1,1,1,Rail,27538.71,USD 11477.07,Cancelled,Latin America,CL,142905,BR,71253,7153.29,7,5909.77,SLA breach,API
Rhenus,CR-851-A,SHP154504,2025-04-06,2025-04-08,0,1,1,Air,2159.96,4593.24,Returned,North America,CA,37986,US,32099,808.62,2,1047.95,Customs hold,API
UPS,CR-796-B,SHP190705,2024-04-16,2024-04-25,0,1,0,Rail,24276.6,19127.65,Delivered,Middle East,AE,695869,SE,5465,7131.37,9,5193.77,Customs hold,Manual
Evergreen Marine,CR-263-C,SHP927017,2024-08-15,2024-08-16,0,0,0,Air,2105.34,$1072.17,Delivered,Middle East,AE,272637,AE,958146,130.89,1,165.34,Documentation missing,API
XPO Logistics,313080,SHP544435,2025-02-23,2025-02-25,0,0,0,Air,789.83,16931.91,Cancelled,Africa,NG,180380,PE,376389,8717.44,2,4131.2,Partial delivery,Portal
XPO Logistics,CR-165-C,SHP972616,06-06-2023,2023-06-18,0,1,1,Sea,43532.74,14005.62,Cancelled,Europe,NL,9458,IN,985134,8153.66,12,5324.27,No issues,EDI
Kuehne + Nagel,CR-769-B,SHP531488,2024-06-10,2024-06-12,0,1,0,Air,1574.65 kg,12435.3,Delivered,Asia,SG,153915,PE,162547,4666.74,2,4409.08,Documentation missing,Manual
Y.R.C,CR-537-B,SHP116323,2023-07-10,2023-07-12,0,1,0,Sea,30967.59,624.9,Delivered,North America,MX,48911,MX,19181,274.19,2,127.37,Customs hold,Manual
DHL,CR-663-B,SHP626975,2023-02-11,2023-02-21,1,0,0,Road,3571.09,17466.12,Returned,Middle East,TR,8434,IL,634542,11410.45,10,7334.6,No issues,Portal
Hapag-Lloyd,CR-127-C,SHP186594,2025-02-25,2025-02-28,1,1,0,Road,21209.68,12483.17,Returned,Europe,DE,6332,SE,5890,1957.86,3,7474.6,No issues,EDI
CEVA Logistics,CR-666-C,SHP851353,2023-10-06,2023-10-09,Yes,1,0,Sea,44155.53,586.0,Returned,North America,MX,92228,MX,49744,173.16,3,114.69,SLA breach,Email
S.F. Express,CR-939-C,SHP582079,2024-09-05,2024-09-07,0,1,0,Air,2020.48,45547.04,Cancelled,Middle East,SA,295477,IL,928350,8365.22,2,10141.03,Customs hold,Manual
USPS,CR-423-C,SHP446856,2025-10-09,2025-10-13,1,1,2,Road,1074.68,999.7,Delivered,Europe,FR,2236,PL,1952,1395.72,4,269.99,Documentation missing,Email
COSCO Group,CR-918-A,SHP153552,2024-11-17,2024-11-19,0,1,0,road,3810.52,3272.09,Returned,Europe,ES,3182,FR,7930,957.2,2,656.54,SLA breach,EDI
DB Cargo,CR-425-B,SHP930969,08-05-2023,2023-05-13,0,0,0,Sea,20274.49,4290.34,Delivered,Latin America,PE,251199,CA,26291,3192.13,5,970.78,Left at front desk,Email
Kuehne & Nagel,CR-715-A,SHP555506,09-01-2023,01/11/2023,1,1,0,Road,19938.92,14508.48,Delivered,Asia,CN,139514,SG,486253,1866.05,2,6697.25,Customs hold,API
Maersk,386883,SHP819558,2024-07-22,2024-07-26,0,0,0,Road,3590.12,15369.25,In Transit,Middle East,AE,483804,TR,2279,5114.97,4,3305.41,Customs hold,API
FedEx,CR-837-C,SHP245251,2023-09-08,2023-09-10,0,0,0,Road,289.74,70.34,Returned,North America,CA,93422,CA,70415,156.6,2,8.17,No issues,Portal
TNT,CR-116-A,SHP469383,31-07-2023,2023-08-01,1,1,0,Air,4949.65,5441.42,Returned,Latin America,CO,380453,CO,331614,570.03,1,1692.87,Partial delivery,Portal
UPS,CR-163-B,SHP195499,2024-08-02,2024-08-15,1,None,0,Rail,28545.34,21095.2,In Transit,Latin America,PE,278372,ES,1341,11387.98,13,9752.22,SLA breach,Portal
DHL,CR-747-A,SHP227977,2023-04-23,2023-04-25,0,1,0,Sea,40845.42,1013.42,Delayed,Asia,CN,593229,CN,116839,549.56,2,336.71,Customs hold,Portal
Royal Mail,CR-655-C,SHP158331,2023-11-07,2023-11-19,Yes,0,0,Sea,31552.94,8509.73,Returned,Latin America,CO,295196,BR,71081,7141.51,12,3380.04,No issues,Email
Kuehne + Nagel,CR-123-C,SHP436044,2024-04-21,2024-04-25,1,1,0,Road,469.22,824.23,In Transit,Africa,EG,193768,NG,135102,3918.67,4,330.97,Left at front desk,Manual
DB Schenker,CR-962-C,SHP773067,2024-06-20,2024-06-28,0,0,0,Rail,34042.8,21771.95,Cancelled,Asia,IN,233034,AE,619171,7040.35,8,7190.2,Customs hold,Email
Evergreen Marine,CR-512-B,SHP586501,2023-01-27,2023-02-06,0,1,0,Sea,47067.74,11473.14,Cancelled,Africa,KE,257769,EG,609640,8173.75,10,5770.8,Documentation missing,Manual
CEVA Logistics,102069,SHP278917,2023-10-18,2023-10-26,1,0,0,Road,3891.04,9626.1,Delayed,Latin America,BR,28566,IT,5126,6514.28,8,4562.51,SLA breach,Manual
Rhenus,,,,,0,0,0,Rail,28393 g,,In Transit,Middle East,TR,9457,BR,91449,10465.53,10,8914.63,Documentation missing,Email
Royal Mail,CR-639-C,SHP889970,2025-04-16,2025-04-17,0,1,0,Air,4689.98,12896.67,Delivered,North America,MX,90383,CA,97341,1058.8,1,2979.44,Customs hold,Manual
Royal Mail,CR-316-B,SHP512272,2025-08-22,2025-08-26,0,0,0,Road,3746.17,5283.24,Returned,Latin America,AR,823515,CL,714779,3701.43,4,2495.91,Documentation missing,Portal
UPS,747635,SHP761372,2023-06-14,2023-06-26,No,0,0,Sea,74382.98,17074.91,Delayed,Africa,NG,218979,AR,92268,7710.83,12,8603.32,No issues,API
XPO Logistics,283247,SHP875957,2024-12-16,2024-12-17,0,0,0,Air,2355.53,61974.95,Delivered,Latin America,CO,724062,TR,8034,8938.3,1,12632.68,SLA breach,Portal
Royal Mail,175618,SHP179162,2025-07-17,2025-07-20,0,0,1,Air,2865.71,34052.5,Cancelled,North America,US,17675,PE,947287,4825.75,3,8297.52,Documentation missing,API
Kuehne + Nagel,CR-916-B,SHP450326,2024-05-17,2024-05-25,0,0,0,Sea,32765.96,5322.56,Delivered,Latin America,CO,130783,PE,589039,4891.84,8,2404.29,Customs hold,Manual
Kuehne + Nagel,CR-675-B,SHP387596,2023-04-26,2023-04-27,No,1,0,Road,1869.62,1424.4,Delivered,Europe,DE,2972,BE,7420,801.12,1,269.6,Documentation missing,Email
UPS,575502,SHP612574,2023-01-25,2023-02-05,1,0,0,Rail,18971.62,$28920.82,Returned,Europe,NL,1027,CN,178687,11330.06,11,6448.49,No issues,EDI
Nippon Express,CR-922-C,SHP630212,2025-04-22,04/24/2025,0,1,2,Road,21252.28,7519.26,In Transit,North America,US,80136,CA,61551,1637.71,2,6264.92,Partial delivery,API
CEVA,CR-167-A,SHP151924,02-01-2023,2023-01-03,1,0,0,Rail,28045.55,2137.02,Delivered,North America,MX,89417,CA,65652,1018.83,1,857.21,Documentation missing,Manual
XPO Logistics,741747,SHP982689,2023-10-11,2023-10-17,0,1,0,Sea,90895.12,7927.42,Returned,Africa,ZA,977945,NG,853563,4472.46,6,6097.87,Left at front desk,Email
YRC Worldwide,CR-954-B,SHP716863,2024-09-07,2024-09-17,0,1,0,Rail,9490.37,13836.16,In Transit,Asia,KR,744088,FR,2640,11085.2,10,3156.08,No issues,EDI
Rhenus,CR-435-A,SHP537522,2024-10-06,2024-10-16,1,1,0,Sea,71082.39,10929.99,Returned,Africa,NG,899001,ZA,988071,6891.54,10,7348.01,Customs hold,Email
Royal Mail,CR-955-A,SHP496127,2024-03-20,2024-03-25,1,0,0,Rail,27677.62,4912.95,In Transit,Middle East,TR,1962,PE,832398,3780.56,5,3139.1,Partial delivery,Portal
USPS,392016,SHP408621,2023-03-31,2023-04-02,0,0,3,Air,3478.16,67407.26,Cancelled,Africa,KE,842651,EG,140258,7784.27,2,16244.94,Documentation missing,API
Hapag-Lloyd,CR-207-A,SHP752788,2023-03-27,2023-04-05,0,1,2,Road,2987.31,10349.7,In Transit,Latin America,CL,964763,PL,7463,10606.15,9,5703.09,SLA breach,Portal
CEVA Logistics,CR-239-A,SHP952822,2025-08-27,2025-09-10,1,1,0,Sea,52201.3,12234.12,Delivered,Middle East,IL,200611,AR,625202,9129.59,14,7148.65,Partial delivery,Manual
YRC Worldwide,363995,SHP341593,2024-01-16,2024-01-26,1,1,0,Sea,35633.73,10417.3,Returned,Asia,KR,871979,SA,652879,7798.68,10,4168.44,Documentation missing,Email
Evergreen Marine,343048,SHP912219,2024-02-26,2024-03-03,1,1,0,Sea,72617.77,15455.84,Delivered,North America,CA,63207,CO,573838,4580.89,6,4989.81,Partial delivery,API
UPS,CR-541-C,SHP712640,2023-11-24,2023-11-28,1,1,0,Road,3785.12,14155.37,Delivered,Latin America,PE,906485,CN,526709,5531.15,4,3768.5,No issues,Manual
Kuehne + Nagel,CR-867-B,SHP611513,2025-03-16,2025-03-17,0,None,0,Air,4550.11,7174.61,Cancelled,Latin America,PE,428263,PE,657053,485.23,1,1324.72,Documentation missing,API
Evergreen Marine,CR-319-B,SHP991149,2024-08-07,2024-08-13,1,0,0,Rail,14942.49,5748.9,Delivered,Africa,ZA,314173,CA,27319,3003.0,6,1346.17,SLA breach,Manual
UPS,CR-642-B,SHP923157,2023-04-19,2023-05-01,0,1,0,Rail,31541.42,23186.03,Cancelled,Asia,KR,264261,EG,256809,10879.74,12,10294.87,Customs hold,EDI
DHL,CR-205-A,SHP275497,2023-03-09,2023-03-14,1,1,0,road,2597.83,4395.08,Delivered,Latin America,PE,106716,SA,871028,4549.84,5,2127.55,Documentation missing,API
Hapag-Lloyd,644132,SHP490078,2023-09-24,2023-09-26,1,1,0,Road,12239.12,9262.41,Delayed,Europe,NL,3073,DE,6072,1112.22,2,2450.28,No issues,EDI
Royal Mail,751705,SHP280772,2023-02-19,2023-02-22,0,0,0,Road,2726.48,509.65,Delivered,Europe,ES,6166,ES,8344,249.14,3,122.27,SLA breach,EDI
USPS,CR-417-C,SHP754629,2024-10-19,2024-10-20,1,0,0,Air,4986.01,63525.13,Delivered,North America,MX,48378,BR,74082,7427.0,1,22218.67,No issues,Portal
UPS,CR-297-A,SHP178889,2024-11-30,2024-12-12,1,1,0,Sea,41966.94,14772.62,Cancelled,Middle East,IL,183942,BR,93301,8960.59,12,5640.73,Partial delivery,Manual
Rhenus,CR-340-A,SHP898043,2024-03-23,2024-03-25,1,1,0,Sea,92003.42,1835.05,Returned,Asia,SG,890007,JP,787002,918.14,2,1267.08,Partial delivery,Manual
Y.R.C,CR-662-A,SHP642740,2024-08-05,2024-08-16,1,1,0,Road,13549.05,58803.08,Returned,Asia,SG,623507,FR,1494,10974.56,11,26765.07,No issues,EDI
COSCO,CR-437-C,SHP497000,2024-09-23,2024-10-04,0,0,0,Sea,94398.67,33401.61,Delivered,North America,US,47101,SA,398220,7538.23,11,10673.98,Partial delivery,EDI
Hapag-Lloyd,CR-593-A,SHP225019,2024-04-24,2024-05-07,1,1,0,Sea,99316.6,22581.87,Cancelled,Middle East,SA,937347,KR,853505,9301.87,13,13857.44,No issues,Manual
XPO Logistics,739907,SHP169022,2025-02-02,2025-02-06,1,0,0,Rail,14776.46,$337.41,Returned,Middle East,SA,193241,SA,983101,111.61,4,49.47,SLA breach,Manual
UPS,CR-816-B,SHP958373,2024-02-10,2024-02-19,1,1,0,Rail,31419.21,17942.9,Delivered,North America,CA,51028,IL,876165,6764.9,9,6376.44,Partial delivery,API
UPS,CR-740-B,SHP944486,2024-01-06,2024-01-17,1,1,0,Rail,31748.08,20927.23,Delayed,Africa,ZA,480994,US,98316,10373.1,11,9879.78,Documentation missing,API
COSCO,CR-697-B,SHP251996,2024-07-10,2024-07-13,1,0,0,Air,3553.35,87699.53,In Transit,Europe,IT,6452,SA,898108,11873.5,3,25314.43,Customs hold,Email
UPS,CR-563-C,SHP482247,2023-12-20,2023-12-24,0,0,0,Road,3839.96,3361.57,Returned,Asia,SG,612270,JP,571413,950.85,4,657.22,Partial delivery,Portal
TNT,CR-596-A,SHP699604,2024-02-08,2024-02-15,1,1,0,Rail,26583.82,7355.87,Delayed,North America,US,26550,KE,525043,3951.49,7,3151.37,Left at front desk,Email
DHL,CR-536-A,SHP817169,21-05-2025,2025-05-27,0,1,0,Road,1614.74,5036.49,Delayed,Middle East,IL,109713,TR,3148,3962.86,6,1151.82,SLA breach,Portal
CEVA Logistics,CR-632-A,SHP993823,2023-07-12,2023-07-15,0,0,0,Air,3910.32,29222.22,Cancelled,Middle East,IL,382404,SA,374683,4172.63,3,9789.79,SLA breach,Manual
SF Express,CR-622-B,SHP835865,2023-09-23,2023-10-02,0,0,0,Sea,89861.91,10947.24,Cancelled,Latin America,CO,556731,AR,705710,6148.77,9,8288.11,SLA breach,EDI
Maersk Sealand,CR-605-A,SHP347075,2024-08-01,2024-08-07,1,0,0,Road,15750.88,36943.51,Cancelled,Latin America,CL,360339,AR,634942,5134.2,6,14556.28,Left at front desk,Email
DHL,945442,SHP624915,2024-08-23,2024-09-07,1,None,0,Sea,90345.68,34683.57,Returned,Latin America,PE,507852,SA,415974,11339.38,15,15366.96,Documentation missing,Manual
Maersk,CR-386-A,SHP903675,2023-10-08,10/09/2023,1,0,0,Road,2539.29,834.59,Cancelled,Europe,PL,1233,IT,1007,1028.5,1,470.1,Customs hold,EDI
FedEx,731627,SHP636534,2025-04-30,2025-05-08,0,0,0,Rail,15307.22,12884.56,Delayed,Africa,KE,204117,NG,490199,7542.02,8,3463.42,SLA breach,Manual
Nippon Express,CR-669-C,SHP423565,2025-05-07,2025-05-10,1,1,0,Sea,69243.62,3900.23,Returned,Europe,IT,6638,TR,2481,1195.92,3,1242.14,SLA breach,API
Nippon Express,CR-694-C,SHP847892,2023-04-22,2023-05-08,1,0,0,Sea,55556.54,24167.2,Cancelled,Middle East,AE,771763,TR,6812,11151.81,16,9293.34,Documentation missing,Email
U.P.S,CR-455-C,SHP696817,2023-10-08,2023-10-17,1,1,0,Road,591.22,3921.97,Delayed,Africa,EG,272733,ZA,232076,8741.45,9,930.27,SLA breach,API
T.N.T,261023,SHP482133,2024-09-04,2024-09-17,1,0,0,Sea,59661.81,12945.26,Delivered,North America,MX,32375,IL,189644,9304.64,13,8326.97,Customs hold,API
UPS,CR-133-B,SHP234946,2023-11-28,2023-12-01,0,1,0,Air,681.38,13852.26,Returned,Latin America,CL,666571,PE,978443,10827.87,3,4426.75,No issues,Email
TNT,447452,SHP694543,2025-08-31,2025-09-08,0,0,0,Rail,22827.81,8175.74,Delivered,Middle East,TR,4127,AE,378224,7819.4,8,5354.99,Left at front desk,Manual
YRC Worldwide,CR-901-B,SHP981050,2023-12-31,2024-01-03,0,1,0,Rail,34386.26,2689.96,Cancelled,North America,CA,91841,US,76465,1107.98,3,1142.98,Customs hold,Email
Maersk,CR-485-C,SHP114799,2025-04-24,2025-05-07,1,1,0,Rail,39477.93,20024.2,Delivered,Latin America,AR,791668,SA,784359,11634.6,13,13779.3,SLA breach,Manual
UPS,CR-993-A,SHP325144,2025-01-10,2025-01-16,0,1,0,Road,3821.77,9152.72,In Transit,North America,CA,48650,KR,816455,4267.03,6,2935.37,SLA breach,Portal
Kuehne + Nagel,CR-281-A,SHP202454,2024-08-28,2024-09-06,0,None,0,Road,3762.63,18683.33,Delayed,Middle East,SA,618268,AE,175583,8972.13,9,6076.59,Documentation missing,EDI
USPS,CR-847-C,SHP799360,2023-09-13,09/22/2023,0,0,0,Sea,36762.34,6735.71,Cancelled,Latin America,BR,77678,PE,455702,5550.41,9,3060.69,No issues,Portal
DB Cargo,CR-513-C,SHP522331,2023-10-11,2023-10-23,1,0,0,Sea,25107.96,7378.95,Cancelled,Europe,PL,3047,EG,902169,8337.04,12,3139.89,Partial delivery,Manual
U.S.P.S,635292,SHP256841,2025-06-10,2025-06-14,0,1,2,Road,3495.37,8216.43,Cancelled,North America,US,15828,TR,9962,4257.9,4,2678.93,No issues,Portal
ZIM,CR-505-C,SHP301376,12-04-2025,2025-04-19,0,1,0,Rail,12429.59,USD 6923.41,Returned,Africa,KE,575639,IN,800220,6327.89,7,2359.59,Left at front desk,Portal
ZIM,CR-176-B,SHP432820,2024-02-14,2024-02-21,1,1,3,Road,13474.51,32240.73,Delayed,Africa,ZA,360334,KE,223410,5625.43,7,13643.99,SLA breach,API
ZIM,CR-355-A,SHP620921,2025-07-11,2025-07-13,1,0,0,air,3357.81,40153.66,Delayed,Africa,NG,225759,KE,757771,7336.47,2,14780.67,No issues,Email
COSCO,CR-924-C,SHP472158,2024-04-13,2024-04-16,1,1,0,Rail,29431.32,1020.98,Delivered,North America,MX,13464,US,30958,896.41,3,791.48,Partial delivery,EDI
Kuehne & Nagel,CR-592-A,SHP398486,2023-02-27,2023-03-06,0,1,0,Road,2138.07,N/A,Delivered,Middle East,SA,136554,TR,6534,9428.62,7,3628.64,Partial delivery,EDI
COSCO,CR-914-A,SHP126091,2024-11-25,2024-11-29,0,0,0,Road,21074.76,15529.54,Cancelled,Asia,KR,184233,JP,567616,1844.6,4,6997.43,Documentation missing,Email
Kuehne + Nagel,396605,SHP486813,04-11-2023,2023-11-07,1,1,0,Rail,28370.36,3021.11,Cancelled,Europe,ES,6351,IT,4300,1661.72,3,1414.31,Left at front desk,Manual
Rhenus,322513,SHP662564,2024-09-21,2024-09-25,1,1,0,Road,1978.09,8112.42,Delivered,Asia,IN,449641,US,45374,5699.92,4,2029.49,No issues,Email
FedEx,CR-251-A,SHP692689,12-05-2023,2023-05-23,1,1,0,Road,3189.3,19291.28,Delivered,Asia,KR,817042,FR,2013,11323.22,11,6500.37,SLA breach,API
UPS,CR-936-A,SHP264611,2023-03-26,2023-04-02,1,0,0,Rail,14577.09,6853.78,Delivered,Middle East,TR,7061,AE,702127,4936.19,7,2158.66,No issues,Manual
UPS,CR-209-C,SHP638706,2025-03-10,2025-03-11,0,1,3,Air,2742 g,5165.01,Delayed,Asia,SG,221247,SG,991475,685.31,1,1127.79,Partial delivery,EDI
Kuehne + Nagel,497234,SHP257913,2025-01-10,2025-01-11,0,0,0,Road,1196.44,305.94,Delayed,North America,US,73350,US,21403,285.52,1,61.49,No issues,Portal
Rhenus,CR-739-C,SHP188981,2024-02-12,02/27/2024,1,0,0,Sea,42109 g,12172.09,In Transit,Europe,ES,5833,MX,18753,11338.51,15,7161.84,Left at front desk,Manual
DB Cargo,CR-289-A,SHP957610,2024-09-05,2024-09-08,1,1,0,Road,807.64,1481.52,Delayed,Europe,DE,7807,SG,844053,3893.42,3,566.01,No issues,Email
YRC Worldwide,CR-988-C,SHP981888,2023-08-28,2023-09-09,1,0,0,Sea,64078.6,18447.84,In Transit,Latin America,PE,761633,NL,5417,8197.81,12,7879.56,No issues,Portal
COSCO,CR-983-C,SHP182224,2023-08-20,2023-08-25,1,1,0,Sea,89434.09,15157.43,Delivered,Middle East,IL,395599,SA,153921,3989.95,5,5352.56,Partial delivery,EDI
SF Express,CR-373-C,SHP131790,2023-06-29,2023-07-05,1,1,2,Rail,37756.68,21726.13,In Transit,Latin America,CO,471014,MX,54585,6025.06,6,6824.59,Documentation missing,Manual
CEVA Logistics,CR-274-B,SHP338182,2024-09-10,2024-09-14,0,0,0,Sea,21587.02,1023.22,Delivered,Africa,ZA,620091,ZA,643612,794.62,4,257.3,Documentation missing,Portal
Kuehne + Nagel,CR-993-C,SHP321177,2023-06-01,2023-06-05,1,1,0,Road,22643.25,48303.72,Returned,Africa,NG,810663,EG,564686,4970.05,4,20256.86,Customs hold,EDI
YRC Worldwide,CR-779-A,SHP990285,31-03-2024,2024-04-09,0,0,0,Sea,30114.23,8758.69,Cancelled,Latin America,PE,388123,DE,9831,6031.26,9,2724.4,Partial delivery,EDI
DHL,CR-750-B,SHP848498,2025-10-06,2025-10-13,0,0,0,Rail,14102.4,5126.62,Delayed,Middle East,IL,825260,CL,218588,5490.72,7,2322.97,No issues,Portal
Maersk,CR-255-C,SHP718156,2023-01-13,2023-01-24,1,0,0,Rail,18427.89,13853.34,Delivered,Asia,KR,512925,CA,36248,9480.63,11,5241.24,Customs hold,Portal
COSCO,CR-653-B,SHP521872,2024-06-24,2024-06-28,1,1,0,Sea,73059.16,1287.34,Delayed,North America,MX,49214,MX,28287,399.29,4,437.57,Partial delivery,API
DHL,CR-102-A,SHP846102,2024-05-25,2024-05-26,0,Provided,0,Rail,9516.31,133.91,Cancelled,Asia,IN,709489,IN,853350,51.04,1,14.57,Documentation missing,Portal
DB Cargo,CR-721-B,SHP534021,2024-02-01,2024-02-12,0,0,0,Sea,27652.98,N/A,Delayed,Middle East,TR,2800,SA,852816,8899.76,11,3691.57,Documentation missing,EDI
DB Cargo,CR-233-C,SHP874507,2024-10-27,2024-11-05,1,1,0,rail,39553.29,20403.09,Returned,Middle East,TR,6923,AE,449392,7064.15,9,8382.31,Documentation missing,Portal
XPO Logistics,CR-676-A,SHP257878,2023-07-17,2023-07-26,0,None,3,Rail,,16462.97,Cancelled,Middle East,TR,7840,CN,833700,8634.29,9,7580.73,No issues,EDI
FedEx,CR-662-B,SHP349247,16-05-2023,2023-05-22,1,1,0,Road,22504.46,27559.71,Delivered,Middle East,SA,295592,TR,8377,6146.72,6,24899.14,Documentation missing,Email
TNT,CR-835-A,SHP656883,2024-05-03,2024-05-15,Yes,1,0,Sea,20578.04,11931.68,Returned,Asia,SG,219509,US,21122,9588.72,12,2959.76,SLA breach,Email
COSCO,CR-721-A,SHP436891,2023-05-11,2023-05-22,1,1,0,Sea,87678.07,20950.76,Delivered,Latin America,BR,40293,CO,862547,8066.37,11,10608.66,Documentation missing,API
UPS,560048,SHP839451,2024-02-28,2024-03-02,0,0,2,Sea,72185.24,5336.36,Delayed,North America,MX,54996,US,61800,1519.6,3,1645.39,No issues,API
USPS,CR-897-C,SHP621214,2025-03-05,2025-03-16,1,1,0,Road,,$36999.09,Cancelled,Asia,CN,567036,US,63107,11762.02,11,7208.25,Documentation missing,Portal
